description,timestamp,cleaned_description
"On Monday afternoon, televisions in Bangladesh broadcast images of a helicopter rising from the residence of Sheikh Hasina, the country’s prime minister until minutes before. The chopper was carrying her and her sister “to safety”.⁠
⁠
Shortly afterwards images appeared of gleeful protesters entering the prime minister’s residence, lounging in her bed and making off with pets and furniture. Others were filmed dancing in the streets of Dhaka. In an address to the nation, the country’s army chief confirmed that Sheikh Hasina had resigned and said he would form an interim government.⁠
⁠
Sheikh Hasina ruled the country of 171m people for 20 of the past 28 years, mostly with an iron fist. Her political longevity relied on tacit backing from the army and on increasing oppression. Until last month it looked as if her formula for maintaining power still worked.⁠
⁠
A period of military rule now beckons and three huge questions loom. Tap the link in our bio to find out what those are.⁠
⁠
Photo: AP",2024-08-06 04:00:18,"On Monday afternoon televisions in Bangladesh broadcast images of a helicopter rising from the residence of Sheikh Hasina the countrys prime minister until minutes before The chopper was carrying her and her sister to safety

Shortly afterwards images appeared of gleeful protesters entering the prime ministers residence lounging in her bed and making off with pets and furniture Others were filmed dancing in the streets of Dhaka In an address to the nation the countrys army chief confirmed that Sheikh Hasina had resigned and said he would form an interim government

Sheikh Hasina ruled the country of 171m people for 20 of the past 28 years mostly with an iron fist Her political longevity relied on tacit backing from the army and on increasing oppression Until last month it looked as if her formula for maintaining power still worked

A period of military rule now beckons and three huge questions loom Tap the link in our bio to find out what those are

Photo AP"
"In two weeks as the Democratic Party’s presumptive nominee, Kamala Harris has broken fundraising records and enthused the Democratic base. Her rise to the nomination has been smooth, although Republican attacks on her have barely begun.⁠
⁠
Now, with enough polling to see the effect of her candidacy, The Economist has published an updated poll tracker. It shows Ms Harris leading her opponent, Donald Trump, by 47% to 46% in the national popular vote.⁠
⁠
This is the first lead for the likely Democratic candidate since October 2023, though such a small margin suggests that the race for the popular vote is in essence a tie.⁠
⁠
Along with the new candidate, our tracker has an updated methodology, designed to account for the rapidly shifting race. Tap the link in our bio to learn more about the tracker, and what it suggests about the state of the campaign.⁠
⁠
Photo: AP",2024-08-06 01:00:25,"In two weeks as the Democratic Partys presumptive nominee Kamala Harris has broken fundraising records and enthused the Democratic base Her rise to the nomination has been smooth although Republican attacks on her have barely begun

Now with enough polling to see the effect of her candidacy The Economist has published an updated poll tracker It shows Ms Harris leading her opponent Donald Trump by 47 to 46 in the national popular vote

This is the first lead for the likely Democratic candidate since October 2023 though such a small margin suggests that the race for the popular vote is in essence a tie

Along with the new candidate our tracker has an updated methodology designed to account for the rapidly shifting race Tap the link in our bio to learn more about the tracker and what it suggests about the state of the campaign

Photo AP"
"Budget talks in the European Union are a game of 27-dimensional chess. ⁠
⁠
Members play simultaneously against one another, negotiating over many spending items at once. Countries are preparing for the contest that starts next year, which is likely to be particularly dramatic. ⁠
⁠
The world around the EU has shifted, owing to the war in Ukraine, the continent’s increasingly difficult relationship with China and the growing urgency of climate change. ⁠
⁠
Any attempt to mess with agricultural or regional handouts from the EU will meet howls of indignation and possibly worse. But the world has changed. And so must the bloc.⁠
⁠
New outgoings for climate change and defence will have to be funded by cuts elsewhere. But where will the money come from? Tap the link in our bio to find out. ⁠
⁠
Illustration: @_alvaro_bernis_",2024-08-05 22:00:48,"Budget talks in the European Union are a game of 27dimensional chess 

Members play simultaneously against one another negotiating over many spending items at once Countries are preparing for the contest that starts next year which is likely to be particularly dramatic 

The world around the EU has shifted owing to the war in Ukraine the continents increasingly difficult relationship with China and the growing urgency of climate change 

Any attempt to mess with agricultural or regional handouts from the EU will meet howls of indignation and possibly worse But the world has changed And so must the bloc

New outgoings for climate change and defence will have to be funded by cuts elsewhere But where will the money come from Tap the link in our bio to find out 

Illustration alvarobernis"
"What determines Olympic success? When measured by the number of medals won, America dominates. But Jamaica shows there are more ways to measure sporting prowess #olympics #paris2024 #medal",2024-08-05 21:03:38,What determines Olympic success When measured by the number of medals won America dominates But Jamaica shows there are more ways to measure sporting prowess olympics paris2024 medal
"In the summer of 2020 American intelligence analysts got a warning from “Raven Sentry”, an AI tool that they had been operating for a few months, that there was a high probability of a violent attack in eastern Afghanistan at the beginning of July. ⁠
⁠
The attack came, a little late, in August, when Islamic State struck a prison in the region, killing 29 people. ⁠
⁠
Raven Sentry was shut down a year later, when America pulled out of Afghanistan. But since then, armed forces and intelligence agencies have poured resources into AI for “indicators and warnings”, the term for forewarning of attack.⁠
⁠
To learn how Raven Sentry used open-source data to foresee Taliban attacks, tap the link in our bio.⁠
⁠
Photo: Eyevine",2024-08-05 20:01:10,"In the summer of 2020 American intelligence analysts got a warning from Raven Sentry an AI tool that they had been operating for a few months that there was a high probability of a violent attack in eastern Afghanistan at the beginning of July 

The attack came a little late in August when Islamic State struck a prison in the region killing 29 people 

Raven Sentry was shut down a year later when America pulled out of Afghanistan But since then armed forces and intelligence agencies have poured resources into AI for indicators and warnings the term for forewarning of attack

To learn how Raven Sentry used opensource data to foresee Taliban attacks tap the link in our bio

Photo Eyevine"
"For decades the world’s corporate titans have seen China as an essential place to do business. Chinese firms, it turns out, were no different. ⁠
⁠
Their domestic market was vast and growing at a dizzying pace, so they had little reason to hunt for customers abroad. This relatively inward focus is now changing—quickly.⁠
⁠
Since 2016 Chinese firms’ foreign sales have more than doubled. Although some factories are being built in the West, the lion’s share of activity is in the global south.⁠
⁠
Tap the link in our bio to learn why China is rapidly expanding in the developing world—and why Western firms may be in danger of losing the upper hand.⁠
⁠
Photo: Getty Images",2024-08-05 18:01:04,"For decades the worlds corporate titans have seen China as an essential place to do business Chinese firms it turns out were no different 

Their domestic market was vast and growing at a dizzying pace so they had little reason to hunt for customers abroad This relatively inward focus is now changingquickly

Since 2016 Chinese firms foreign sales have more than doubled Although some factories are being built in the West the lions share of activity is in the global south

Tap the link in our bio to learn why China is rapidly expanding in the developing worldand why Western firms may be in danger of losing the upper hand

Photo Getty Images"
"As fears of an American recession spread, Japan’s markets have taken another beating.⁠
⁠
The country’s benchmark Topix plunged by 12% on Monday in its worst performance since 1987. The index is now almost a quarter below its peak, reached barely a month ago. ⁠
⁠
The yen, meanwhile, is snapping back: it is up 13% from less than a month ago, when it was at its weakest in 37 years. ⁠
⁠
These sharp moves carry implications not just for Japanese investors and firms. ⁠
⁠
Click the link in our bio to read why the country’s financial heft means that they could be a source of further volatility in nervous global markets. ⁠
⁠
Photo: Reuters",2024-08-05 15:00:39,"As fears of an American recession spread Japans markets have taken another beating

The countrys benchmark Topix plunged by 12 on Monday in its worst performance since 1987 The index is now almost a quarter below its peak reached barely a month ago 

The yen meanwhile is snapping back it is up 13 from less than a month ago when it was at its weakest in 37 years 

These sharp moves carry implications not just for Japanese investors and firms 

Click the link in our bio to read why the countrys financial heft means that they could be a source of further volatility in nervous global markets 

Photo Reuters"
"It is hard to think of a worse way to remember the three girls murdered at a dance class in Southport a week ago. ⁠
⁠
Ever since that tragedy, indefensible anti-immigration protests have flared across England.⁠
⁠
Mosques and police officers have been attacked. Criminals tried to set fire to a hotel they thought was housing asylum-seekers. Town centres up and down the country have been marred by street battles.⁠
⁠
Disturbances of this sort occasionally disfigure British cities. Many of the troublemakers over the past few days have been youngsters drawn by the thrill of mindless violence rather than by a sinister political ideology. Britain is an increasingly liberal country; it has not suddenly become a racist one.⁠
⁠
But click the link in our bio to read how, even if this bout of violence sputters, as during the London riots in 2011, the disorder has illuminated three concerns.⁠
⁠
Photo: Getty Images",2024-08-05 14:00:37,"It is hard to think of a worse way to remember the three girls murdered at a dance class in Southport a week ago 

Ever since that tragedy indefensible antiimmigration protests have flared across England

Mosques and police officers have been attacked Criminals tried to set fire to a hotel they thought was housing asylumseekers Town centres up and down the country have been marred by street battles

Disturbances of this sort occasionally disfigure British cities Many of the troublemakers over the past few days have been youngsters drawn by the thrill of mindless violence rather than by a sinister political ideology Britain is an increasingly liberal country it has not suddenly become a racist one

But click the link in our bio to read how even if this bout of violence sputters as during the London riots in 2011 the disorder has illuminated three concerns

Photo Getty Images"
"About 60% of Vienna’s population of 2m live in “social housing”, where rents are kept low by the city. Apartments are often small, but the amenities—kindergartens, laundries and pools—generous.⁠
⁠
A two-­bedroom unit of 80 square metres (861 square feet) with a garden costs as little as €900 ($975) a month. ⁠
⁠
Cheap housing means more money for the good life. Just 44% of Viennese spend over a quarter of their income on housing (including energy costs); in London it is 86%.⁠
⁠
Vienna is regularly voted the world’s most liveable city. But it isn’t perfect. Tap the link in our bio to discover why a housing system designed to provide accommodation for the poorest now mostly benefits the well-off.⁠
⁠
Photo: Katharina F Rossboth/Anzenberger/Eyevine",2024-08-05 09:00:15,"About 60 of Viennas population of 2m live in social housing where rents are kept low by the city Apartments are often small but the amenitieskindergartens laundries and poolsgenerous

A twobedroom unit of 80 square metres 861 square feet with a garden costs as little as 900 975 a month 

Cheap housing means more money for the good life Just 44 of Viennese spend over a quarter of their income on housing including energy costs in London it is 86

Vienna is regularly voted the worlds most liveable city But it isnt perfect Tap the link in our bio to discover why a housing system designed to provide accommodation for the poorest now mostly benefits the welloff

Photo Katharina F RossbothAnzenbergerEyevine"
"The seaports of Asia are synonymous with globalisation, trade and integration. They are the sinews of the modern world.⁠
⁠
But the continent’s highlands, far from the distant centres of political and financial power, are a different story. Many have resisted the power of governments, officialdom and the formal economy for centuries.⁠
⁠
James C. Scott, an American anthropologist and political scientist, who died last month at the age of 87, helped illuminate the lawless history of what he called Zomia, a region spread across upland South-East Asia.⁠
⁠
Mr Scott said that he saw the world not with an anarchist lens, but with an anarchist squint. Tap the link in our bio to learn why Zomia was a natural fit for Mr Scott’s squint, his lasting legacy.⁠
⁠
Illustration: @lantru",2024-08-05 04:00:15,"The seaports of Asia are synonymous with globalisation trade and integration They are the sinews of the modern world

But the continents highlands far from the distant centres of political and financial power are a different story Many have resisted the power of governments officialdom and the formal economy for centuries

James C Scott an American anthropologist and political scientist who died last month at the age of 87 helped illuminate the lawless history of what he called Zomia a region spread across upland SouthEast Asia

Mr Scott said that he saw the world not with an anarchist lens but with an anarchist squint Tap the link in our bio to learn why Zomia was a natural fit for Mr Scotts squint his lasting legacy

Illustration lantru"
"Since Portuguese colonisers first appeared, the story of indigenous Brazilians has been littered with horror. Disease and violence killed many after the conquest. Slavery on rubber plantations existed into the 20th century. ⁠
⁠
Today wildcat miners, ranchers and loggers are the threat to the indigenous peoples of Brazil. ⁠
⁠
A new report by the (Catholic) Indigenous Missionary Council tallies 1,040 deaths of indigenous children under the age of five in 2023, the highest number since records began in 2003. Brain defects and damaged nervous systems are also becoming more common. ⁠
⁠
Brazil’s left-leaning president since 2023, Luiz Inácio Lula da Silva, promised vigorously to defend indigenous Brazilians’ rights. But tap the link in our bio to find out why, despite the federal government’s actions, they will remain vulnerable. ⁠
⁠
Photo: Panos Pictures/ Lalo de Almeida",2024-08-05 01:00:15,"Since Portuguese colonisers first appeared the story of indigenous Brazilians has been littered with horror Disease and violence killed many after the conquest Slavery on rubber plantations existed into the 20th century 

Today wildcat miners ranchers and loggers are the threat to the indigenous peoples of Brazil 

A new report by the Catholic Indigenous Missionary Council tallies 1040 deaths of indigenous children under the age of five in 2023 the highest number since records began in 2003 Brain defects and damaged nervous systems are also becoming more common 

Brazils leftleaning president since 2023 Luiz Incio Lula da Silva promised vigorously to defend indigenous Brazilians rights But tap the link in our bio to find out why despite the federal governments actions they will remain vulnerable 

Photo Panos Pictures Lalo de Almeida"
"They burned her book. Priests denounced it from the pulpit; in her hometown they burned it in the parish grounds, after the rosary. Some people, Edna O’Brien’s mother told her, had even fainted as it was burned.⁠
⁠
That must have been the smoke, she had retorted.⁠
⁠
The Catholic Church wasn’t much of a one for nudity. Or for O’Brien’s books, which also had nudity in them. Her writing was filled with a blend of the sacred and profane. Her mother was appalled.⁠
⁠
But her work was feted too. Philip Roth was an admirer; as were Richard Burton and Marlon Brando. Tap the link in our bio to discover the life of the writer whose books shocked Ireland.⁠
⁠
Photo: Getty Images",2024-08-04 22:00:25,"They burned her book Priests denounced it from the pulpit in her hometown they burned it in the parish grounds after the rosary Some people Edna OBriens mother told her had even fainted as it was burned

That must have been the smoke she had retorted

The Catholic Church wasnt much of a one for nudity Or for OBriens books which also had nudity in them Her writing was filled with a blend of the sacred and profane Her mother was appalled

But her work was feted too Philip Roth was an admirer as were Richard Burton and Marlon Brando Tap the link in our bio to discover the life of the writer whose books shocked Ireland

Photo Getty Images"
"Industry awards are ridiculous and ubiquitous.⁠
⁠
That both of these things are true is doubtless a sad commentary on the human condition. But if these ceremonies are so absurd, why do they persist?⁠
⁠
Some reasons are obvious. A night out is fun, and awards do add lustre to the winners’ CVs.⁠
⁠
Other reasons, though, are less so. Tap the link in our bio to discover what industry awards can tell you about the things employees value.⁠
⁠
Illustration: @ryanpetergillett⁠",2024-08-04 20:00:34,"Industry awards are ridiculous and ubiquitous

That both of these things are true is doubtless a sad commentary on the human condition But if these ceremonies are so absurd why do they persist

Some reasons are obvious A night out is fun and awards do add lustre to the winners CVs

Other reasons though are less so Tap the link in our bio to discover what industry awards can tell you about the things employees value

Illustration ryanpetergillett"
"“After a brief and unequal campaign, marked by restrictions and abuses of power, the Venezuelan people participated peacefully in huge numbers in July’s election,” writes Edmundo González.⁠
⁠
“The result was clear: I obtained a large, indisputable majority,” the opposition coalition’s candidate states in a guest essay for The Economist.⁠
⁠
Yet the regime led by Nicolás Maduro “seems to be willing to stay in power by any means possible”.⁠
⁠
“Only through truth will Venezuela find a way to move forward from this critical moment,” argues Mr González. ⁠
⁠
Tap the link in our bio to learn why he believes a peaceful transfer of power is still possible.⁠
⁠
Photo: AP",2024-08-04 18:15:15,"After a brief and unequal campaign marked by restrictions and abuses of power the Venezuelan people participated peacefully in huge numbers in Julys election writes Edmundo Gonzlez

The result was clear I obtained a large indisputable majority the opposition coalitions candidate states in a guest essay for The Economist

Yet the regime led by Nicols Maduro seems to be willing to stay in power by any means possible

Only through truth will Venezuela find a way to move forward from this critical moment argues Mr Gonzlez 

Tap the link in our bio to learn why he believes a peaceful transfer of power is still possible

Photo AP"
"When Vladimir Putin’s forces invaded Ukraine in 2022, Sergey and Nikolai were among the hordes of men who fled Russia to avoid an army call-up. The pair ended up in Belgrade, Serbia, where they enjoyed the expat life together.⁠
⁠
But although Sergey has resolved never to go back to Russia, Nikolai has since returned home. He said he lives well in Moscow, thanks to low income tax and government schemes such as subsidised mortgages.⁠
⁠
But life in Russia isn’t completely stress-free. Tap the link in our bio to learn why some expats still hanker for home.⁠
⁠
Illustrations: Michael Glenwood⁠",2024-08-04 16:00:28,"When Vladimir Putins forces invaded Ukraine in 2022 Sergey and Nikolai were among the hordes of men who fled Russia to avoid an army callup The pair ended up in Belgrade Serbia where they enjoyed the expat life together

But although Sergey has resolved never to go back to Russia Nikolai has since returned home He said he lives well in Moscow thanks to low income tax and government schemes such as subsidised mortgages

But life in Russia isnt completely stressfree Tap the link in our bio to learn why some expats still hanker for home

Illustrations Michael Glenwood"
"As the West turns inward, Chinese companies are winning the global south. Tap the link in our bio to learn why their expansion abroad holds important lessons for Western rivals.⁠
⁠
Illustration: @patrick.leger.art",2024-08-04 14:03:19,"As the West turns inward Chinese companies are winning the global south Tap the link in our bio to learn why their expansion abroad holds important lessons for Western rivals

Illustration patricklegerart"
"When Sir Keir Starmer proposed a state-owned company called Great British Energy in September 2022, he was aping the man dragged out of 10 Downing St two months earlier. ⁠
⁠
Sir Keir had studied Boris Johnson’s bracing pledge to “take back control” in the Brexit referendum of 2016.⁠
⁠
Adapting this mantra, the then opposition leader griped that the only governments with a stake in Britain’s energy system were foreign ones, from Sweden, France and China. GB Energy would secure “British power for British people”. ⁠
⁠
It would also allow him to ditch a more radical plan for wholesale renationalisation. Now that Labour is in government, the question is whether good politics can become good policy. ⁠
⁠
So what would Great British Energy actually do? Tap the link in our bio to learn the plans—and the three risks—behind Labour’s vision for a state-owned energy firm.⁠
⁠
Photo: Panos Pictures/ Andrew Testa",2024-08-04 09:00:23,"When Sir Keir Starmer proposed a stateowned company called Great British Energy in September 2022 he was aping the man dragged out of 10 Downing St two months earlier 

Sir Keir had studied Boris Johnsons bracing pledge to take back control in the Brexit referendum of 2016

Adapting this mantra the then opposition leader griped that the only governments with a stake in Britains energy system were foreign ones from Sweden France and China GB Energy would secure British power for British people 

It would also allow him to ditch a more radical plan for wholesale renationalisation Now that Labour is in government the question is whether good politics can become good policy 

So what would Great British Energy actually do Tap the link in our bio to learn the plansand the three risksbehind Labours vision for a stateowned energy firm

Photo Panos Pictures Andrew Testa"
