description,timestamp
"On a distant reef 16,000km from Paris, surfer Gabriel Medina has given Olympic viewers one of the most memorable images of the Games yet, with an airborne celebration so well poised it looked too good to be true.

The Brazilian took off a thundering wave at Teahupo’o in Tahiti on Monday, emerging from a barrelling section before soaring into the air and appearing to settle on a Pacific cloud, pointing to the sky with biblical serenity, his movements mirrored precisely by his surfboard.

The shot was taken by Agence France-Presse photographer @jeromebrouilletphotography, who said ‘the conditions were perfect, the waves were taller than we expected’. He took the photo while aboard a boat nearby, capturing the surreal image with such accuracy that at first some suspected Photoshop or AI.

‘So he [Medina] is at the back of the wave and I can’t see him and then he pops up and I took four pictures and one of them was this one,’ said Brouillet. ‘It was not hard to take the picture. It was more about anticipating the moment and where Gabriel will kick off the wave.‘

But Brouillet had knowledge and experience on his side – he could see one of the best waves of the day was approaching and knew that Medina often does this kind of celebration at the end of the wave.

‘It’s very cool, it’s a nice shot and lots of people love it. It’s not really a surf photograph so it captures the attention of more people.’

Click the link in bio to find out how the breathtaking image of Olympic surfer was taken.

#Olympics #Surfing #Surf #Photography",2024-07-30 14:23:05
"Israeli drones struck a remote road in southern Lebanon, as the Israeli prime minister, Benjamin Netanyahu, promised a “harsh” response to the rocket strike on the occupied Golan Heights that killed 12 children.

Two Israeli drone strikes killed two people, according to Lebanon’s state news agency, as well as wounding three others on the roads between the towns of Chaqra and Meiss El Jabal, close to the frontier between Israel and Lebanon.

The Israel Defense Forces (IDF) said it shot down a drone sent from Lebanese territory in the early hours of the morning, intercepting the aircraft after it crossed into Israeli territory.

Tensions between Israel and Lebanon have risen in recent days after the rocket strike on the town of Majdal Shams in the Golan Heights, annexed by Israel in 1981, which killed 12 children as they played football on Saturday.

Israeli and US officials blamed Hezbollah for the missile strike, which the Lebanese militant group has denied.

Netanyahu flew back early from a trip to the US and spent Sunday in discussion with military security officials. He later convened his security cabinet for several hours to discuss how to respond to the strike on Majdal Shams, amid pressure from the US and France to avoid a large-scale attack that risks sparking a regional war.

Click the link in bio for more on what’s happening in the Middle East.

#Israel #Palestine #Lebanon #MiddleEast",2024-07-29 18:23:34
"Taken in Ampara, Sri Lanka, the photograph on the cover of this gallery exposes a distressing reality: due to the reduction of natural habitats and the absence of efficient waste management, elephants are attracted to eat garbage dangerously close to human habitation.

Plastic waste threatens their lives, yet currently there’s no effective solution. Waste accumulation near forests lures elephants, and many other animals, away from their natural habitats, jeopardising their safety.

During photographer Damith Osuranga Danthanarayana ‘s exploration, a small elephant was found, hurt by a homemade explosive.

This image and all the others in this carousel feature in this year’s Earth Photo awards, which showcase the issues affecting the climate and life on our planet. Swipe through to see and read more.

Credits:

@wildlife_and_nature_by_damith

@ericnathanphotography

@lensofrayzhang

@jmadler

@taylorroades

@sandipanichattopadhyay

@tjwatt

@elreassong

@annakorbut.art

Mominul Islam Momin

#photography #photojournalism #animals #elephants",2024-07-28 12:29:43
"Typhoon Gaemi has caused damage across the Philippines, Taiwan and China this week, unleashing torrential rain and strong winds of up to 141mph (227km/h) – some of the strongest winds recorded in the western Pacific Ocean.

While the fiercest winds were felt in Taiwan, where the storm claimed at least three lives, Gaemi also exacerbated rains in the Philippines. The capital, Manila, received more than 300mm (11.8in) of rainfall, with resulting floods reaching as high as one-storey buildings in places. At least 34 people have been killed in the country as a result of the typhoon, authorities said on Friday.

In China, about 85 hectares (210 acres) of crops were damaged in Fujian province and economic losses were estimated at 11.5m yuan (£1.2m), according to Chinese media reports.

An oil tanker capsized in Manila Bay as a result of rough seas, resulting in what could be the worst oil spill in Philippine history.

A Tanzania-flagged cargo ship also capsized near the coast of south-east Taiwan. One crew member has been found dead, four have been rescued and four others are missing, the island's coastguard officials told Reuters.",2024-07-26 19:43:56
"""Being an athlete mum feels like the hardest job in the world,"" writes Nekoda Smythe-Davis, a Commonwealth gold medal-winning judoka (judo expert), who represented Great Britain at the 2016 Olympics.

""It is such a juggle; a balancing act. You feel like you’re burning the candle at both ends and you are trying to give 100% to two different areas – in some ways you are splitting yourself in two – but it is rewarding when you get it right. And all the sacrifices that I make will set us up for life if things pan out the way I want them to,"" she adds in a new piece for @guardian_sport .

Once, motherhood spelled the end of a sporting career. But more mums than ever are taking part in this year’s Olympics and Paralympics; and this year’s village even has a nursery for the first time.

“Training while pregnant kept me grounded and gave me a goal. I tried to prepare for the birth as if it were a mini Olympics. At the end of that day, I was definitely going to have my prize,” said @nekodajudo_93

Swipe to see more quotes and portraits from a few Team GB mothers, also including @biancaawills and @helenglovergb

And, as the countdown to the Olympic opening ceremony this evening begins, follow the latest on our liveblog via the link in bio.

Photo credits: David Vintiner",2024-07-26 12:39:42
"Benjamin Netanyahu’s visit and address to a joint session of the US Congress on Wednesday was met with a personal protest in the chamber by the sole Palestinian American member of Congress.

The Michigan representative Rashida Tlaib, a leading progressive Democrat and fiercely outspoken opponent of Israel’s war in Gaza, held up a sign that said “war criminal” as Netanyahu was speaking. She also wore a Palestinian flag pin and a keffiyeh, the black and white scarf that has been linked with the Palestinian struggle for over half a century.

While some lawmakers gave the Israeli prime minister a standing ovation, others stayed away, and demonstrations by thousands of protesters took place outside.

After Netanyahu’s speech Tlaib posted on X: ‘I will never back down in speaking truth to power.’

Dozens of Democratic members of Congress – including the former House speaker Nancy Pelosi – said they would boycott the speech over humanitarian concerns about how Israel has prosecuted the war in Gaza, which has left an estimated 39,000 Palestinian civilians dead. Axios reported that nearly half of all Democratic lawmakers were absent from the joint session.

Watch the video to see different reactions to Netanyahu’s speech to Congress.

#Israel #US #Palestine #Politics",2024-07-25 17:25:45
"“I want justice for my baby,” said James Wilburn, the father of Sonya Massey, a 36-year-old Black woman who was shot in the face and killed by a white sheriff’s deputy in Illinois.

Sonya Massey was killed early on the morning of 6 July by Sean Grayson, an Illinois sheriff’s deputy, in her home in Springfield, the Illinois state capitol.

Newly released body-cam footage shows a police officer shooting Massey – who called police in fear of a home intruder – in the face, killing her.

The family of Massey have said police initially tried to cover up her killing.

At a press conference on Tuesday, the family said police initially told Massey’s loved ones she had either killed herself or was killed by an intruder.

“They tried to make me believe that a neighbor had did it,” said Jimmie Crawford Jr, Massey’s former partner and the father of one of her children, who added that law enforcement told nurses at the hospital that Massey had “killed herself”. “How do you get that confused?” said Crawford Jr.

Only after a doctor said Massey’s death was a homicide did law enforcement begin classifying it as a police killing, the family said. 

Some of Massey’s family did not learn who had actually killed her until they read news reports about the 6 July killing, her father, James Wilburn, said on Tuesday.

Massey’s killing has drawn condemnation from Democratic politicians across Illinois and throughout the country, including from Joe Biden and Kamala Harris.",2024-07-24 20:12:29
"The biggest abortion rights groups in US politics are lining up behind Kamala Harris’s bid for president, a show of faith in a politician who has already become the face of the White House’s fight over abortion rights.

Within hours of Joe Biden’s announcement on Sunday that he would drop out of the presidential race and endorse the vice-president, Emilys List, a political group that advocates for abortion access, officially endorsed Harris. Emilys List plans to pour at least $20m into the race in support of Harris.

Since the fall of Roe v Wade, abortion rights has been winning issue for Democrats and Harris was always considered Biden’s voice on the matter.

Watch the video to hear our reproductive rights reporter Carter Sherman (carter _sherman_reports) explain what a Kamala Harris presidency would mean for abortion rights in the US. For more analysis on this story, click the link in bio.

#Democrat #KamalaHarris #US #Politics #Election #Abortion",2024-07-24 17:04:44
"How exactly do you pronounce Kamala? Listen up and learn to get it right. 

#USelections #USnews #news #KamalaHarris #JoeBiden #USelections2024",2024-07-24 05:29:09
"Kamala Harris put her record against Trump’s at a campaign event in her first campaign speech in the swing state of Wisconsin.

Kicking off her remarks by reminding everyone that “the path to the White House goes through Wisconsin,” she drew contrasts between her record as a prosecutor and attorney general, and Trump’s felony conviction and lawsuits.

Follow the link in bio for more on her rally in Wisconsin.",2024-07-23 23:27:44
"Donald Trump has moved swiftly to turn his attack machine on to the vice-president in the wake of Joe Biden dropping out of the presidential race, dusting off his derisive nickname for her: “Laffin’ Kamala Harris”.

But as the Republican nominee refocuses his campaign to target Harris, there is one awkward truth that Trump will have to face. What about the two checks totaling $6,000 from 2011 and 2013, bearing Trump’s distinctive signature, and made payable to one “Attorney General Kamala D Harris”?

Within hours of Biden’s historic decision breaking on Sunday, and with a new possible Trump v Harris battle honing into view, Trump’s uncomfortable donation resurfaced on social media. Jared Moskowitz, a Democratic congressman from Florida, posted a photo of the check on his X feed with the words: “Was a wise investment.”

Records held by the California secretary of state note the largest $5,000 donation, but also give details of a further $1,000 check from Trump to Harris from February 2013 at the start of her re-election campaign as the state’s attorney general.

Trump’s daughter Ivanka is also listed on the database as having given Harris $2,000 for her re-election committee in June 2014.

Follow the link in bio to read more.",2024-07-22 20:17:39
"The question on everyone’s mind after Biden’s sudden announcement Sunday: what now?

Joe Biden, 81, ended his presidential re-election campaign on Sunday and immediately endorsed his vice-president, Kamala Harris, for the Democratic presidential nominee.

Swipe to read the reactions of our panelists to Biden’s decision and what they think happens from here. Click the link in our bio for more.",2024-07-22 16:43:21
"US president Joe Biden made the decision to end his re-election campaign today and offered his “full support and endorsement” to Harris to be the Democratic nominee.

The announcement came weeks before the Democrats are set to formally choose their nominee at the convention in Chicago, plunging an already tumultuous contest deeper into unchartered waters – while thrusting his potential successor into the spotlight.

Matilda Boseley reports. 

📸 AP / Getty / Reuters / Rex / AFP / Getty Images / The White House 

#KamalaHarris #DonaldTrump #USelections #news #US #JoeBiden #KamalaHarris2024 #Harris2024 #BidenHarris",2024-07-22 11:01:16
"Vice-president Kamala Harris has said she will seek the Democratic presidential nomination after Joe Biden endorsed her as his successor following his decision to suspend his re-election campaign.

“Over the past year, I have traveled across the country, talking with Americans about the clear choice in this momentous election,” she said in a statement. “And that is what I will continue to do in the days and weeks ahead.”

The almost unprecedented shake up comes after a dramatic three weeks, in which pressure and speculation reached a fever pitch over Biden’s future, following a disastrous debate performance against Donald Trump in his late June.

Biden is the first president in 56 years to call off his campaign for re-election.

In a statement, Barack Obama called Biden “one of America’s most consequential presidents”, but did not endorse Harris and seemed to indicate he wanted an open nomination process at the Democratic national convention next month, in Chicago.

Meanwhile, Democratic chair Jaime Harrison said “the party will undertake a transparent and orderly process” to find a new candidate.

Follow the link in our bio for live updates.",2024-07-22 00:46:06
"Why has Biden ultimately decided to step aside? 

Watch Guardian US's politics correspondent Lauren Gambino’s analysis. 

Joe Biden was quick to endorse his vice-president, Kamala Harris, for the US Democratic party’s 2024 presidential nomination in the wake of his stunning decision not to seek re-election to the White House.

In a tweet posted minutes after the publication of his letter announcing his decision to withdraw from the race, the president said choosing Harris to be his second-in-command for the duration of his term of office was “the best decision I’ve made”.

The message also said he was committed to focusing on the rest of his time in the White House while his party made a decision on his successor at the top of the ticket for the November election.",2024-07-21 22:16:34
"Joe Biden has withdrawn from the race for the US presidency, an extraordinary decision that plunges the Democratic nomination into uncertainty just months before the November election against Donald Trump.

The president made the shocking announcement after a weeks-long pressure campaign by Democratic leaders, organizers and donors who increasingly saw no path to victory so long as the embattled incumbent remained on the ticket. 

More than 30 Democratic members of Congress had called on Biden to step aside. As recently as Friday, his campaign had insisted he was staying in the race. An ABC News/Ipsos poll released Sunday found that 60% of Democrats believed he should end his bid.

A disastrous debate performance last month, and his uneven public appearances since, have only exacerbated longstanding voter concerns that the 81-year-old president was simply too old to serve another four years.

Biden’s decision to step aside from the race, though remain as president, caps a singular few weeks in American politics, the latest stunning episode in an unusually tumultuous election season.

Follow the link in bio for live updates.",2024-07-21 21:18:26
"What’s the difference between SPF 30 and SPF 50?

What does SPF actually mean?

And are there alternatives to sunscreen?

Sunscreen is essential for sun-seekers everywhere. But despite SPF products being available in pharmacy aisles, experts say many aren’t applying it correctly.

The result? Rates of melanoma, one of the most serious forms of skin cancer, reached a record high in the UK in 2023. And, according to the American Academy of Dermatology, skin cancer is the most common cancer in the United States.

So how much SPF do we really need? How much sunscreen should we be wearing, and how often do we need to reapply it? Swipe through to see our experts’ answers to your questions - and tap the link in bio for more advice.",2024-07-20 10:15:29
"A global IT failure has caused chaos at airports, banks, healthcare services and businesses around the world after a faulty software update triggered “the largest IT outage in history”.

Microsoft’s Windows system was at the center of the outage, after it was hit by a faulty software update from the US cybersecurity firm CrowdStrike that left large numbers of workers facing an error screen labeled the “blue screen of death” as their computers failed to start.

Experts said the recovery could take days because every affected PC may have to be fixed manually.

CrowdStrike confirmed the outage was due to a software update from one of its products and was not caused by a cyber-attack.

In the US, flights were grounded owing to communications problems that appear to be linked to the outage. American Airlines, Delta and United Airlines were among the carriers affected.

There has been more than 1,000 flight cancellations worldwide so far due to the IT failure, according to the aviation analysis firm Cirium.

Follow the link in bio for the latest updates.",2024-07-19 18:39:12
